ID,LastName,FirstName,Pos,CapHit
8476869,Skjei,Brady,D,7000000.0
8479425,Hronek,Filip,D,7250000.0
8477932,Ekblad,Aaron,D,6100000.0
8474565,Pietrangelo,Alex,,8800000.0
8477498,Nurse,Darnell,D,9250000.0
8480762,Robinson,Eric,L,1700000.0
8479671,Olivier,Mathieu,R,3000000.0
8478542,Rodrigues,Evan,C,3000000.0
8481068,Sharangovich,Yegor,C,5750000.0
8474150,Backlund,Mikael,C,4500000.0
8477456,Compher,J.T.,L,5100000
8474716,Spurgeon,Jared,D,7575000.0
8482762,Edvinsson,Simon,D,894167.0
8482713,Samoskevich,Mackie,R,775000.0
8480068,Poehling,Ryan,C,1900000.0
8476872,Laughton,Scott,L,1500000.0
8478462,Roy,Nicolas,C,3000000.0
8480113,Iafallo,Alex,L,3666667.0
8478397,Andersson,Rasmus,D,4550000.0
8476875,Matheson,Mike,D,4875000.0
8476826,Gourde,Yanni,C,2333333.0
8478055,Forsling,Gustav,D,5750000.0
8474151,McDonagh,Ryan,D,6750000.0
8477015,Brown,Connor,R,3000000.0
8470621,Perry,Corey,R,2000000.0
8478434,Kolesar,Keegan,R,2500000.0
8476438,Saad,Brandon,L,2000000.0
8480873,Sandin,Rasmus,D,4600000.0
8481568,Vlasic,Alex,D,4600000.0
8478882,Gavrikov,Vladislav,D,7000000.0
8471724,Letang,Kris,D,6100000.0
8477948,Sanheim,Travis,D,6250000.0
8475184,Kreider,Chris,L,6500000.0
8482122,Faber,Brock,D,8500000.0
8478109,Olofsson,Victor,L,1575000.0
8480891,Kesselring,Michael,D,1400000.0
8478046,Heinen,Danton,L,2250000.0
8475784,Skinner,Jeff,L,3000000.0
8476469,Armia,Joel,R,2500000.0
8475171,Ekman-Larsson,Oliver,D,3500000.0
8475220,Foligno,Marcus,L,4000000.0
8479525,Colton,Ross,C,4000000.0
8477969,Pettersson,Marcus,D,5500000.0
8481598,Broberg,Philip,D,4580917.0
8478493,Eriksson Ek,Joel,C,5250000.0
8476448,Karlsson,William,C,5900000.0
8470613,Burns,Brent,D,1000000.0
8484145,Benson,Zach,L,950000.0
8481522,Krebs,Peyton,C,1450000.0
8481606,Spence,Jordan,D,1500000.0
8478831,Stenlund,Kevin,C,2000000.0
8474679,Nyquist,Gustav,R,3250000.0
8477021,Kerfoot,Alexander,C,3000000
8476457,Larsson,Adam,D,5250000.0
8478233,Mangiapane,Andrew,L,3600000.0
8476292,Palat,Ondrej,L,6000000.0
8475200,Orlov,Dmitry,D,6500000.0
8476871,Pearson,Tanner,L,1000000.0
8482074,Zary,Connor,C,3775000.0
8479390,Raddysh,Taylor,R,1500000.0
8475343,Dowd,Nic,C,3000000.0
8480855,McBain,Jack,C,4250000.0
8478020,Amadio,Michael,R,2600000.0
8474641,Henrique,Adam,C,3000000.0
8480817,Miller,K'Andre,D,7500000
8478042,Arvidsson,Viktor,L,4000000.0
8476958,Slavin,Jaccob,D,6395955.0
8476981,Anderson,Josh,R,5500000.0
8478874,Gaudette,Adam,R,2000000.0
8476927,Blueger,Teddy,C,1800000.0
8479371,Fabbro,Dante,D,4125000.0
8481618,Newhook,Alex,C,2900000.0
8477451,Hartman,Ryan,R,4000000.0
8480078,Chytil,Filip,C,4437500.0
8474586,Eberle,Jordan,R,4750000.0
8476902,Lindell,Esa,D,5250000.0
8481532,Turcotte,Alex,C,775000.0
8482858,Evans,Ryker,D,2050000.0
8482055,O'Connor,Drew,L,2500000
8481028,Pospisil,Martin,C,1000000.0
8481535,Hoglander,Nils,L,3000000.0
8479351,Steel,Sam,C,2100000.0
8478463,Beauvillier,Anthony,L,2750000.0
8480796,Fehervary,Martin,,2675000.0
8476967,Kulak,Brett,D,2750000.0
8478851,Carrier,Alexandre,D,3750000.0
8480797,Farabee,Joel,L,5000000.0
8476923,Severson,Damon,D,6250000.0
8481013,Berggren,Jonatan,R,1825000.0
8481577,Tomasino,Philip,C,1750000.0
8481617,Podkolzin,Vasily,R,1000000.0
8474574,Myers,Tyler,D,3000000.0
8480185,Luostarinen,Eetu,C,3000000.0
8476879,Ceci,Cody,D,4500000.0
8479998,Anderson,Mikey,D,4125000.0
8479398,Girard,Samuel,D,5000000.0
8478911,Roy,Matt,D,5750000.0
8481641,Kiviranta,Joel,L,1250000.0
8480003,Boqvist,Jesper,C,1500000.0
8476931,McCabe,Jake,D,4491898.0
8477429,Copp,Andrew,C,5625000.0
8477506,Pulock,Ryan,D,6150000.0
8475763,Hayes,Kevin,R,3571429.0
8479325,McAvoy,Charlie,D,9500000.0
8479638,Brazeau,Justin,R,1500000.0
8481032,Cotter,Paul,C,775000.0
8481582,Robertson,Nicholas,L,1825000.0
8482117,Reichel,Lukas,L,1200000.0
8478891,Appleton,Mason,C,2900000.0
8474189,Eller,Lars,C,1250000.0
8478859,Mikkola,Niko,D,2500000.0
8479996,Glass,Cody,C,2500000.0
8475208,Dumoulin,Brian,D,4000000.0
8481523,Dach,Kirby,C,3362500.0
8479293,Tanev,Brandon,L,2500000.0
8478438,Novak,Thomas,C,3500000
8479324,Lindgren,Ryan,D,4500000.0
8477507,Zadorov,Nikita,D,5000000.0
8481186,O'Connor,Logan,R,2500000
8479941,Danforth,Justin,R,1800000.0
8479520,Duhaime,Brandon,R,1850000.0
8482073,Schneider,Braden,D,2200000.0
8477903,Hathaway,Garnet,R,2400000.0
8479387,Middleton,Jacob,D,4350000
8476925,Sissons,Colton,C,1428572.0
8477845,van Riemsdyk,Trevor,D,3000000.0
8475287,Haula,Erik,L,3150000.0
8479992,Rasmussen,Michael,C,3200000.0
8475324,Jensen,Nick,D,4050000.0
8478416,Cernak,Erik,D,5200000.0
8476917,Pelech,Adam,D,5750000.0
8475794,Seguin,Tyler,C,9850000.0
8475842,Carrick,Sam,C,1000000.0
