ID,LastName,FirstName,Pos,CapHit,proj_gp,proj_w,proj_gaa,proj_svp
8478048,Shesterkin,Igor,G,11500000,55,30,2.7,0.909
8478916,Daccord,Joey,G,5000000,55,24,2.72,0.908
8482982,Greaves,Jet,G,812500,55,24,2.63,0.928
