ID,LastName,FirstName,Pos,CapHit,proj_gp,proj_goals,proj_assists,proj_points,proj_ppg,proj_ppa,proj_sog
8481546,York,Cameron,D,5150000.0,82,0,0,0,0,0,0
8480878,Lundkvist,Nils,D,1250000.0,82,0,0,0,0,0,0
8478975,Marchment,Mason,L,4500000.0,82,26,32,59,6,12,167
8480188,Zetterlund,Fabian,L,4275000.0,82,15,15,30,5,9,180
8482259,McMann,Bobby,C,1350000.0,82,22,16,38,3,7,187
8478856,Garland,Conor,R,4950000.0,82,19,30,49,4,12,181
8477476,Lehkonen,Artturi,L,4500000.0,82,31,26,57,6,12,181
8480459,Suter,Pius,C,4125000.0,82,22,20,42,2,5,135
8480459,Suter,Ryan,C,0.0,82,22,20,42,2,5,135
8482803,Zellweger,Olen,D,844167.0,82,9,17,26,1,7,172
8481523,Dach,Kirby,C,3362500.0,82,14,17,32,1,10,121
